resp_var_type;stratum;init2;pr2_MP_A;pr2_MP_LED;pr2_IP_A;pr2_IP_LED
abs;UM;ST: young;0.4877588080644998;0.3542817907174318;0.511974411608525;0.5242733431175153
abs;UM;ST: structured;0.6541903980162661;0.511178290202871;0.34100714225656287;0.3517170995530702
abs;UM;ST: mature;0.39020312613339375;0.5018511376296737;0.5135876164175253;0.5081051708766038
abs;UM;LT;0.5062032299006063;0.471137001552051;0.354127695882459;0.29985617651803553
abs;HM;ST: young;0.7507005477000432;0.705176295119717;0.6258508581102905;0.6423559101507585
abs;HM;ST: structured;0.7722544459136818;0.6673794345489474;0.5494106295037355;0.3597953884453641
abs;HM;ST: mature;0.6478929917370929;0.6416828426010395;0.3125393114147356;0.2418995010894517
abs;HM;LT;0.5363153863249228;0.6296257787929931;0.38242775068446644;0.4062725948556243
abs;SA;ST: young;0.6137851680468019;0.7358107100626302;0.7815627802021634;0.6915517310808669
abs;SA;ST: structured;0.48635853447804206;0.4406435913084981;0.7948533019919148;0.7948533019919148
abs;SA;ST: mature;0.39329556877132354;0.4544307539406391;0.7041182857685981;0.7000842585641708
abs;SA;LT;0.4821685937227037;0.3567138166218808;0.6189732485433469;0.6180136737454281
diff;UM;ST: young;0.4613079070578628;0.3913776235229167;0.634045035203295;0.3847907598888662
diff;UM;ST: structured;0.6737222327586633;0.6039601485142932;0.3294654512630618;0.2764561080504704
diff;UM;ST: mature;0.47294309765939313;0.5491503853544959;0.5007023408932492;0.491055225838034
diff;UM;LT;0.547029260352716;0.5340264675221913;0.3870731616043538;0.3442042421640954
diff;HM;ST: young;0.8076726900873139;0.7673213484925853;0.32416752400355825;0.3277379500177103
diff;HM;ST: structured;0.8729681093742958;0.8288724849655191;0.6192532735495218;0.4546733257428908
diff;HM;ST: mature;0.8705854909297441;0.777953932561106;0.8340499689194204;0.8508924326158663
diff;HM;LT;0.6644051883603438;0.7435661777747042;0.5727438858574962;0.40596554994175893
diff;SA;ST: young;0.580509341697467;0.6980120332652471;0.8574787543645496;0.6659325978982596
diff;SA;ST: structured;0.4902523747730382;0.6500061166486907;0.7937761379394321;0.7937761379394321
diff;SA;ST: mature;0.24114619651306046;0.35231060986834195;0.6932084025784749;0.7155737941411021
diff;SA;LT;0.47692966724216745;0.7564358717421823;0.7314295156430529;0.7318052616216184
