simtype;resp_var_type;var;MP_A;MP_LED;IP_A;IP_LED;vi_mean
ST;abs;Stratum;56.979293099087215;51.04494609720175;62.33940004799936;63.56906756243213;59.979293099087215
ST;abs;Qreg;34.05516698857987;38.06809410758824;30.52482379982527;30.71830844381417;32.55516698857987
ST;abs;Init;3.9052045523332577;4.326603255584852;2.6124535430707647;2.216668004184435;3.4052045523332577
ST;abs;Intensity;2.4229838720346186;3.0184932797268367;1.6319432809541832;1.005608046830442;1.9229838720346186
ST;abs;Interval;1.4698285358035286;2.1294650137787605;0.9339434721090428;0.6539976536463463;1.4698285358035286
ST;abs;Type;0.7327122412880014;0.9561835710397413;1.0217614568674853;0.7072427287231002;0.7327122412880014
ST;abs;Qsite;0.4348107108735064;0.4562146750798239;0.935674399173892;1.1291075603693703;0.4348107108735064
ST;diff;Stratum;27.30467190907661;20.093758764527706;29.004693249668993;31.408835598939714;29.30467190907661
ST;diff;Init;25.31412631214907;26.73587913140035;17.10048029363174;19.035850769883933;22.31412631214907
ST;diff;Qreg;18.143801142395453;20.192522933396226;26.730114821153446;26.178619807135952;22.143801142395453
ST;diff;Intensity;11.85692636944792;13.182802182639524;7.730461453729748;6.435213744552392;9.35692636944792
ST;diff;Interval;8.066969178399814;9.996693894382272;4.77503245996192;4.194217243679005;6.566969178399814
ST;diff;Qsite;4.533093714438105;3.915095563009332;9.386427527705425;8.176564149966588;6.033093714438105
ST;diff;Type;4.780411374093017;5.883247530644597;5.272790194148728;4.570698685842415;4.780411374093017
LT;abs;Stratum;54.45965392077812;48.74316801877761;56.94206039663078;61.029734873568856;57.45965392077812
LT;abs;Qreg;29.20788384537012;35.24245879649053;33.874976827420404;32.00235017985939;30.20788384537012
LT;abs;Interval;6.030111047671862;5.968517736618369;2.237219162598143;1.8521850522634182;4.030111047671862
LT;abs;Type;4.367824670620682;4.3139093935074575;4.4910330289430975;2.7206762816641357;3.8678246706206822
LT;abs;Intensity;4.776097627209279;4.321789495336084;1.8509461956927353;1.7649824201654705;3.276097627209279
LT;abs;Qsite;1.158428888349939;1.4101565592699448;0.6037643887148347;0.6300711924787197;1.158428888349939
LT;diff;Qreg;46.58228630223686;40.18553371492959;30.328940797335633;35.68124713894061;41.58228630223686
LT;diff;Stratum;18.306561954226975;21.712187520760164;38.01657246507894;47.34358650190065;32.80656195422698
LT;diff;Interval;12.53414501192781;10.75187730864527;6.296760847050251;4.365268856881186;8.53414501192781
LT;diff;Intensity;10.270325980612947;8.407258545999735;5.092322184844;3.6521175551185494;7.270325980612947
LT;diff;Type;8.737757088213895;7.178675307962491;10.808359322590892;5.4855941121959;7.237757088213895
LT;diff;Qsite;3.568923662781521;11.764467601702744;9.457044383100277;3.4721858349631014;3.568923662781521
