simtype;resp_var_type;stratum;init;var;MP_A;MP_LED;IP_A;IP_LED;vi_mean
ST;abs;UM;y;Qsite;28.952261337340804;30.392041243931704;16.53585673175569;30.880586329586873;29.452261337340804
ST;abs;UM;y;Interval;33.19717973325856;27.967956758520575;21.782457968291716;20.208134723622642;27.197179733258558
ST;abs;UM;y;Intensity;24.9856089745775;19.05960935279722;26.08097614644289;21.23199654015752;23.4856089745775
ST;abs;UM;y;Type;12.864949954823139;22.580392644750507;35.60070915350971;27.679282406632968;19.86494995482314
ST;abs;UM;s;Intensity;45.9440557448466;35.739370011685445;25.89433954930339;22.77012729944072;34.4440557448466
ST;abs;UM;s;Type;21.542021147111644;35.24865627544233;38.24584548108355;38.82519610683227;30.042021147111644
ST;abs;UM;s;Interval;23.133435833914117;21.885393113468336;24.132898534488465;22.437964486657766;23.133435833914117
ST;abs;UM;s;Qsite;9.380487274127635;7.12658059940389;11.726916435124597;15.966712107069242;12.380487274127635
ST;abs;UM;m;Type;23.213202512737002;22.292225352128998;44.075516997476356;41.57371360479447;32.213202512737
ST;abs;UM;m;Interval;35.30298879692867;28.744369598809715;18.488603272190844;14.818307024336262;25.302988796928673
ST;abs;UM;m;Intensity;33.50614559254564;30.820419874768408;21.354261900191513;16.21726790875369;25.006145592545643
ST;abs;UM;m;Qsite;7.977663097788682;18.14298517429289;16.081617830141294;27.390711462115583;17.47766309778868
ST;abs;HM;y;Qsite;3.804229349689546;1.471692960485822;54.04462368956078;63.82863149168698;33.80422934968955
ST;abs;HM;y;Interval;36.52568787445298;42.13646859960654;19.97497132187166;14.525849231205584;26.025687874452977
ST;abs;HM;y;Intensity;37.12650298431957;38.14973366923134;16.892860966830277;11.923882067084698;24.626502984319572
ST;abs;HM;y;Type;22.5435797915379;18.242104770676306;9.08754402173729;9.72163721002274;16.5435797915379
ST;abs;HM;s;Intensity;47.55388475054715;44.07513461308884;39.61766989999516;36.05590531192311;42.05388475054715
ST;abs;HM;s;Interval;27.921281739333036;32.310743459926115;22.915585396973537;19.291157647381795;23.921281739333036
ST;abs;HM;s;Type;10.651258025867257;15.011028741084301;26.905119746121144;27.472279548679158;18.651258025867257
ST;abs;HM;s;Qsite;13.873575484252557;8.603093185900747;10.561624956910174;17.18065749201594;15.373575484252557
ST;abs;HM;m;Intensity;46.63513602344167;34.644146893860395;33.66004062830452;24.923315156137747;36.13513602344167
ST;abs;HM;m;Type;20.962222639396916;32.242314862941996;32.395062766754364;29.509902139034835;24.962222639396916
ST;abs;HM;m;Interval;20.47423164293054;23.251922890491446;13.265851985648625;21.689219855875887;20.97423164293054
ST;abs;HM;m;Qsite;11.928409694230876;9.861615352706162;20.67904461929249;23.877562848951534;17.428409694230876
ST;abs;SA;y;Type;50.755700163478444;38.36395756594969;45.16302552331639;20.760144294594497;36.255700163478444
ST;abs;SA;y;Intensity;18.386482219574305;31.590115402562866;25.96852966200163;28.563372174770922;23.386482219574305
ST;abs;SA;y;Interval;15.555698030631214;20.917505814083;22.06073855133691;30.374849768189847;22.555698030631213
ST;abs;SA;y;Qsite;15.302119586316023;9.128421217404439;6.807706263345078;20.301633762444723;17.302119586316024
ST;abs;SA;s;Intensity;22.565382988077683;20.562262971192588;46.26504825349608;46.26504825349608;34.06538298807769
ST;abs;SA;s;Type;29.950690622468077;37.43998207403322;19.57901109385617;19.57901109385617;24.950690622468077
ST;abs;SA;s;Interval;15.432289812513954;16.036371959024773;30.209202592617824;30.209202592617824;22.432289812513954
ST;abs;SA;s;Qsite;32.051636576940275;25.961382995749418;3.9467380600299253;3.9467380600299253;18.051636576940275
ST;abs;SA;m;Intensity;31.993558690573106;27.489411756894885;37.83977080538726;38.05830355516973;34.99355869057311
ST;abs;SA;m;Interval;16.5330275928327;13.063457994476748;35.62314185461;36.25613755270783;26.0330275928327
ST;abs;SA;m;Qsite;28.7993673273619;31.771923717828265;15.29889795752961;14.206538522205292;21.7993673273619
ST;abs;SA;m;Type;22.674046389232302;27.6752065308001;11.238189382473127;11.479020369917157;17.174046389232302
ST;diff;UM;y;Interval;33.738326672991896;26.955363670413487;16.944876889343444;25.76154037288132;30.238326672991896
ST;diff;UM;y;Intensity;26.194196642469482;19.864674214004346;20.523452553450706;27.169743844775965;26.194196642469482
ST;diff;UM;y;Qsite;26.69620206373545;32.115287253880524;35.17770905202882;18.94875415974754;23.19620206373545
ST;diff;UM;y;Type;13.371274620803167;21.064674861701643;27.353961505177033;28.119961622595174;20.371274620803167
ST;diff;UM;s;Intensity;44.24884941099111;29.508657840826764;26.875309492292303;22.733804274742223;33.74884941099111
ST;diff;UM;s;Type;20.009927557376567;27.760672767761406;39.197116400454206;41.49034840359396;30.509927557376567
ST;diff;UM;s;Interval;22.57181105561244;18.14553780384652;25.19764054995884;24.02747443653512;23.07181105561244
ST;diff;UM;s;Qsite;13.169411976019889;24.585131587565314;8.729933557294663;11.748372885128681;12.669411976019889
ST;diff;UM;m;Type;22.22951437561813;21.81511168554341;44.36723770545661;43.46649419482583;32.72951437561813
ST;diff;UM;m;Intensity;30.772962304929376;28.94890728553348;22.32585072378635;17.79346955824439;24.772962304929376
ST;diff;UM;m;Interval;29.71361198095609;26.02366545859022;18.74284115731767;15.169310858134008;22.71361198095609
ST;diff;UM;m;Qsite;17.2839113384964;23.2123155703329;14.564070413439362;23.570725388795783;20.2839113384964
ST;diff;HM;y;Interval;35.963376158451815;41.38712794068896;37.21199579642989;28.71563921508903;32.463376158451815
ST;diff;HM;y;Intensity;38.52008025167399;38.317630073138226;26.60218221797294;23.576742169924437;31.52008025167399
ST;diff;HM;y;Type;21.719469002151087;18.747775295050584;16.320037757179264;18.87872555643236;20.719469002151087
ST;diff;HM;y;Qsite;3.7970745877231034;1.5474666911222186;19.865784228417915;28.82889305855418;16.297074587723102
ST;diff;HM;s;Intensity;43.23402042922137;41.79786363694817;34.598789542402244;33.3037287529013;38.73402042922137
ST;diff;HM;s;Qsite;21.131665268966422;14.572296993684047;21.502609359144362;26.882445240261937;23.631665268966422
ST;diff;HM;s;Interval;26.05812439011724;29.849658019592415;18.774573358586306;15.461421602512507;21.05812439011724
ST;diff;HM;s;Type;9.57618991169496;13.78018134977536;25.12402773986708;24.35240440432425;16.57618991169496
ST;diff;HM;m;Qsite;41.10867852361283;13.633766778811612;80.67402262448104;85.53387152487144;63.10867852361283
ST;diff;HM;m;Intensity;31.458090759975903;32.29915996259428;8.587107961082015;4.821502721414466;18.458090759975903
ST;diff;HM;m;Type;14.65738134121343;32.209754015886574;7.537238352533045;5.240584346969008;10.15738134121343
ST;diff;HM;m;Interval;12.775849375197833;21.85731924270753;3.2016310619039015;4.404041406745087;8.775849375197833
ST;diff;SA;y;Type;53.98406860533866;40.66724715388062;32.01915878305571;21.03979950412645;37.98406860533866
ST;diff;SA;y;Interval;17.694546254751184;21.88290282357477;17.019809695207716;32.35843780330057;24.694546254751184
ST;diff;SA;y;Intensity;17.55421515602247;33.592710370388815;19.58841651798822;31.839249004631917;24.55421515602247
ST;diff;SA;y;Qsite;10.767169983887674;3.8571396521557895;31.372615003748354;14.762513687941063;12.267169983887674
ST;diff;SA;s;Intensity;22.565382988077474;18.453547734915073;46.42737395703529;46.42737395703529;34.065382988077474
ST;diff;SA;s;Type;29.95069062246812;25.13526995368312;19.652849939842376;19.652849939842376;24.95069062246812
ST;diff;SA;s;Interval;15.43228981251399;12.757612207114898;30.327342364143565;30.327342364143565;22.43228981251399
ST;diff;SA;s;Qsite;32.05163657694041;43.653570104286906;3.592433738978773;3.592433738978773;18.05163657694041
ST;diff;SA;m;Intensity;26.63339023899591;29.191769401045924;39.680001987477446;36.43976830538256;31.13339023899591
ST;diff;SA;m;Interval;20.729586083096695;17.824228937705882;37.38985134084132;34.76861104562081;27.729586083096695
ST;diff;SA;m;Qsite;23.97293373408158;21.27484132736916;11.547411324570081;18.164673396853402;21.47293373408158
ST;diff;SA;m;Type;28.664089943825815;31.70916033387904;11.382735347111158;10.626947252143232;19.664089943825815
